County,Centerline Miles,Lane-miles,Area (sy),PCI 2008,PCI 2010,PCI 2012,PCI 2014,PCI 2016,PCI 2018,PCI 2020,Change in PCI,Population,LOST Active between 08-20,Measure expired and replaced?,Period Active,LOST Rate,Multiple LOSTS Active at same time?
Alameda,3592,8140,78210590,66,67,68,66,68,68,68,2,1661584,TRUE,FALSE,1.00,0.01,FALSE
Alpine,151,302,2139517,40,45,45,44,44,41,58,18,1159,FALSE,FALSE,0.00,0.00,FALSE
Amador,477,945,3598703,31,34,33,33,56,51,51,20,39023,FALSE,FALSE,0.00,0.00,FALSE
Butte,1831,3673,29865832,70,67,65,66,65,60,60,-10,223344,FALSE,FALSE,0.00,0.00,FALSE
Calaveras,831,1340,8201768,55,53,51,51,51,50,52,-3,45828,FALSE,FALSE,0.00,0.00,FALSE
Colusa,761,1247,13240593,61,60,60,62,63,60,61,0,21491,FALSE,FALSE,0.00,0.00,FALSE
Contra Costa,3412,7134,66747390,72,70,71,68,69,71,70,-2,1147788,TRUE,TRUE,1.00,0.01,FALSE
Del Norte,323,646,4415355,70,68,64,63,63,60,60,-10,27692,FALSE,FALSE,0.00,0.00,FALSE
El Dorado,1399,2684,21458907,62,58,63,63,62,63,63,1,190345,FALSE,FALSE,0.00,0.00,FALSE
Fresno,6214,12595,108361263,74,70,69,69,64,61,60,-14,990204,TRUE,FALSE,1.00,0.01,FALSE
Glenn,910,1822,13917626,68,68,68,68,68,68,62,-6,28060,FALSE,FALSE,0.00,0.00,FALSE
Humboldt,1464,2921,24247391,61,56,64,64,63,56,57,-4,136101,FALSE,FALSE,0.00,0.00,FALSE
Imperial,3024,6103,76823230,74,72,57,57,58,55,58,-16,180580,TRUE,TRUE,1.00,0.01,FALSE
Inyo,1133,1832,13681682,75,57,60,62,62,61,62,-13,17930,FALSE,FALSE,0.00,0.00,FALSE
Kern,5725,12615,117170333,66,63,64,64,63,63,65,-1,892458,FALSE,FALSE,0.00,0.00,FALSE
Kings,1324,2710,21044749,63,62,62,62,59,60,61,-2,151090,FALSE,FALSE,0.00,0.00,FALSE
Lake,640,1271,8822689,33,31,40,40,40,38,37,4,64276,FALSE,FALSE,0.00,0.00,FALSE
Lassen,431,879,6282324,55,69,66,66,63,60,61,6,30600,FALSE,FALSE,0.00,0.00,FALSE
Los Angeles,21130,57167,457415797,68,67,66,66,67,67,68,0,10040682,TRUE,TRUE,1.00,0.02,TRUE
Madera,1754,3507,24879499,48,48,47,47,46,44,44,-4,155925,TRUE,FALSE,1.00,0.01,FALSE
Marin,1028,2065,17202637,61,61,61,63,64,67,65,4,259441,TRUE,TRUE,1.00,0.01,FALSE
Mariposa,362,719,5334893,53,44,44,53,65,65,66,13,17319,FALSE,FALSE,0.00,0.00,FALSE
Mendocino,1125,2256,16135923,51,49,37,35,35,32,36,-15,87110,FALSE,FALSE,0.00,0.00,FALSE
Merced,2349,4975,39594831,57,58,58,58,56,56,57,0,273661,TRUE,FALSE,0.25,0.01,FALSE
Modoc,1507,3014,16895856,42,40,56,46,59,59,63,21,8853,FALSE,FALSE,0.00,0.00,FALSE
Mono,737,1473,9613552,71,68,66,67,64,65,66,-5,14395,FALSE,FALSE,0.00,0.00,FALSE
Monterey,2011,3940,31471030,63,45,50,50,50,49,52,-11,432977,TRUE,FALSE,0.25,0.00,TRUE
Napa,740,1513,13048684,53,60,59,59,59,59,56,3,138572,TRUE,FALSE,0.17,0.01,FALSE
Nevada,806,1625,10348493,72,71,72,71,70,68,67,-5,99417,FALSE,FALSE,0.00,0.00,FALSE
Orange,6603,16326,153443823,78,76,77,77,79,79,79,1,3170345,TRUE,TRUE,1.00,0.01,FALSE
Placer,2063,4322,37360569,79,77,71,69,68,64,67,-12,391799,FALSE,FALSE,0.00,0.00,FALSE
Plumas,706,1412,9070195,71,66,66,64,72,73,71,0,18844,FALSE,FALSE,0.00,0.00,FALSE
Riverside,7899,17774,161794983,71,72,70,70,71,68,68,-3,2437864,TRUE,TRUE,1.00,0.01,FALSE
Sacramento,5028,10961,95785803,68,66,64,62,62,60,58,-10,1537948,TRUE,TRUE,1.00,0.01,FALSE
San Benito,492,761,5156435,68,66,66,48,46,37,37,-31,61547,TRUE,FALSE,0.08,0.01,FALSE
San Bernardino,8905,22601,181506462,72,70,70,71,71,70,74,2,2162532,TRUE,TRUE,1.00,0.01,FALSE
San Diego,7759,18760,174285803,74,69,67,66,65,69,70,-4,3323970,TRUE,FALSE,1.00,0.01,FALSE
San Francisco,943,2142,21249793,62,63,65,66,68,74,74,12,874784,TRUE,FALSE,1.00,0.01,FALSE
San Joaquin,3237,6779,60307486,70,70,67,73,70,70,67,-3,751615,TRUE,TRUE,1.00,0.01,FALSE
San Luis Obispo,1980,3569,37159695,64,64,63,64,63,65,59,-5,282517,FALSE,FALSE,0.00,0.00,FALSE
San Mateo,1884,3942,34071528,69,70,71,70,71,72,68,-1,765623,TRUE,TRUE,1.00,0.01,TRUE
Santa Barbara,1607,3352,29854633,72,70,67,66,63,61,61,-11,444895,TRUE,TRUE,1.00,0.00,FALSE
Santa Clara,4510,10039,97993485,70,69,73,68,67,70,69,-1,1924379,TRUE,FALSE,1.00,0.01,TRUE
Santa Cruz,873,1757,14104814,52,48,48,57,50,55,55,3,273170,TRUE,FALSE,0.25,0.01,FALSE
Shasta,1579,3100,24430506,64,67,57,60,57,58,49,-15,179267,FALSE,FALSE,0.00,0.00,FALSE
Sierra,399,800,5566517,73,71,71,45,44,44,45,-28,2898,FALSE,FALSE,0.00,0.00,FALSE
Siskiyou,1488,2985,20233539,57,57,57,57,58,56,62,5,43516,FALSE,FALSE,0.00,0.00,FALSE
Solano,1745,3766,33387951,66,66,67,65,68,67,65,-1,444538,FALSE,FALSE,0.00,0.00,FALSE
Sonoma,2390,4991,40203089,53,50,50,52,55,54,58,5,496801,TRUE,FALSE,1.00,0.00,FALSE
Stanislaus,2908,5981,52101939,60,51,52,55,55,63,61,1,546235,TRUE,FALSE,0.25,0.01,FALSE
Sutter,1032,2079,16016764,73,56,56,65,70,69,59,-14,96315,FALSE,FALSE,0.00,0.00,FALSE
Tehama,1202,2408,17509230,69,65,65,62,53,54,50,-19,64176,FALSE,FALSE,0.00,0.00,FALSE
Trinity,592,1112,7477638,52,50,50,60,62,59,54,2,12541,FALSE,FALSE,0.00,0.00,FALSE
Tulare,3570,7192,58952533,66,68,68,68,60,62,62,-4,463955,TRUE,FALSE,1.00,0.01,FALSE
Tuolumne,547,1083,7109056,62,62,62,47,41,41,28,-34,54147,FALSE,FALSE,0.00,0.00,FALSE
Ventura,2535,5577,56220129,64,66,69,70,71,69,68,4,845599,FALSE,FALSE,0.00,0.00,FALSE
Yolo,1344,2696,23500992,69,67,63,60,55,58,57,-12,218774,FALSE,FALSE,0.00,0.00,FALSE
Yuba,1066,1504,19557588,74,56,56,60,60,66,67,-7,77524,FALSE,FALSE,0.00,0.00,FALSE